cancov;elev;X;Y
68.7411257;850.9021554;430373.156;4898251.277
54.94287227;716.430478;431373.156;4898251.277
65.68713722;788.846605;432373.156;4898251.277
68.6082218;691.4321719;433373.156;4898251.277
66.65108402;575.1005097;434373.156;4898251.277
68.21428281;923.695685;435373.156;4898251.277
69.94640825;875.1748023;436373.156;4898251.277
68.05874016;717.1862493;437373.156;4898251.277
58.43725953;618.150517;438373.156;4898251.277
68.32834782;1045.749878;439373.156;4898251.277
68.37494968;1339.097871;440373.156;4898251.277
66.2158483;1096.052793;441373.156;4898251.277
68.42678911;946.1449778;442373.156;4898251.277
69.92867837;1121.840302;443373.156;4898251.277
67.05660494;1007.562458;444373.156;4898251.277
65.70807532;890.4127523;445373.156;4898251.277
69.45077616;1090.452234;446373.156;4898251.277
72.52301575;1363.107303;447373.156;4898251.277
67.15907031;1185.330796;448373.156;4898251.277
70.17772432;1106.348593;449373.156;4898251.277
70.76472254;1375.413884;450373.156;4898251.277
76.75744797;1429.276686;451373.156;4898251.277
74.70497206;1652.813364;452373.156;4898251.277
73.8806069;1848.648545;453373.156;4898251.277
76.78975145;1616.8075;454373.156;4898251.277
73.33278839;1500.622215;455373.156;4898251.277
71.86277623;1217.813249;456373.156;4898251.277
60.83088654;1287.060466;457373.156;4898251.277
80.44312364;1357.093198;458373.156;4898251.277
67.35597788;973.7717341;459373.156;4898251.277
65.97182856;977.2859452;460373.156;4898251.277
72.66871097;1253.465002;461373.156;4898251.277
71.65353015;1053.410092;462373.156;4898251.277
53.19847917;1323.609614;463373.156;4898251.277
71.60704395;1500.306199;464373.156;4898251.277
56.65186069;1517.175009;465373.156;4898251.277
29.72741358;1480.031683;466373.156;4898251.277
61.63874137;918.9260386;467373.156;4898251.277
67.02759663;635.5211337;468373.156;4898251.277
62.52892972;675.8898313;469373.156;4898251.277
36.10316012;654.6949108;470373.156;4898251.277
33.43994064;550.6928527;471373.156;4898251.277
15.73035358;462.9703509;472373.156;4898251.277
16.10550891;393.5639316;473373.156;4898251.277
16.16653319;358.3131654;474373.156;4898251.277
2.083927973;331.5192249;475373.156;4898251.277
0.003493049;314.547635;476373.156;4898251.277
